City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Half Moon Bay,US,2022-07-21 23:30:19,37.4636,-122.4286,89.55,77,100,25.32
144,Basoko,CD,2022-07-21 23:33:26,1.2391,23.616,72.55,90,89,1.43
145,Tres Arroyos,AR,2022-07-21 23:33:26,-38.3739,-60.2798,44.65,32,83,6.82
146,Westport,US,2022-07-21 23:33:27,41.1415,-73.3579,88.02,84,0,5.75
147,Haifa,IL,2022-07-21 23:33:27,32.8156,34.9892,79.18,82,0,6.06
148,Kawalu,ID,2022-07-21 23:33:28,-7.3817,108.2082,71.64,97,100,2.46
149,Gat,IL,2022-07-21 23:28:53,31.61,34.7642,77.68,100,2,2.39
150,Souillac,MU,2022-07-21 23:33:28,-20.5167,57.5167,68.38,77,40,11.5
151,Urbano Santos,BR,2022-07-21 23:33:29,-3.2078,-43.4036,73.15,92,64,3.76
152,Kavieng,PG,2022-07-21 23:33:29,-2.5744,150.7967,82.26,77,100,11.56
153,Mildura,AU,2022-07-21 23:33:29,-34.2,142.15,50.07,86,48,16.51
154,Port Hardy,CA,2022-07-21 23:30:34,50.6996,-127.4199,60.98,72,20,13.8
155,Bamiantong,CN,2022-07-21 23:33:30,44.9333,130.5333,70.74,88,19,7.36
156,Ko Samui,TH,2022-07-21 23:33:30,9.5357,99.9357,82.6,78,100,12.66
157,Coquimbo,CL,2022-07-21 23:29:43,-29.9533,-71.3436,55.13,82,100,4.61
158,Gelemso,ET,2022-07-21 23:33:30,8.8167,40.5167,59.88,80,75,4.94
159,Lichinga,MZ,2022-07-21 23:33:31,-13.3128,35.2406,53.69,76,0,9.22
160,Lebu,CL,2022-07-21 23:33:31,-37.6167,-73.65,51.33,88,99,12.03
161,Denia,ES,2022-07-21 23:33:32,38.8408,0.1057,82.94,56,0,5.01
162,Maracaibo,VE,2022-07-21 23:31:13,10.6317,-71.6406,83.16,76,73,11.01
163,Sao Joao Da Barra,BR,2022-07-21 23:33:32,-21.6403,-41.0511,70.02,86,4,9.66
164,Kidal,ML,2022-07-21 23:33:33,18.4411,1.4078,88.32,38,69,7.74
165,Nogliki,RU,2022-07-21 23:33:33,51.8333,143.1667,54.7,94,100,12.88
166,Requena,ES,2022-07-21 23:33:33,39.4883,-1.1004,70.79,74,0,2.08
167,Cherskiy,RU,2022-07-21 23:29:33,68.75,161.3,47.28,45,99,11.86
168,Boralday,KZ,2022-07-21 23:33:34,43.3578,76.8594,67.86,45,0,2.24
169,Papagaios,BR,2022-07-21 23:33:34,-19.4492,-44.7478,69.87,44,56,2.1
170,Port Elizabeth,ZA,2022-07-21 23:29:09,-33.918,25.5701,52.09,87,0,6.91
171,Merauke,ID,2022-07-21 23:29:24,-8.4667,140.3333,78.12,79,34,8.63
172,Veraval,IN,2022-07-21 23:33:35,20.9,70.3667,81.25,83,100,15.1
173,Banda Aceh,ID,2022-07-21 23:29:25,5.5577,95.3222,80.01,77,100,9.73
174,Kirakira,SB,2022-07-21 23:33:06,-10.4544,161.9205,84.27,69,98,4.41
175,Vaini,TO,2022-07-21 23:33:36,-21.2,-175.2,78.96,83,40,5.75
176,Dingle,PH,2022-07-21 23:31:51,10.9995,122.6711,82.0,85,98,6.15
177,Severo-Kurilsk,RU,2022-07-21 23:29:39,50.6789,156.125,53.83,96,100,25.26
178,Geraldton,AU,2022-07-21 23:34:36,-28.7667,114.6,54.01,94,100,6.91
179,Gushikawa,JP,2022-07-21 23:34:37,26.3544,127.8686,85.62,84,40,16.11
180,Buin,CL,2022-07-21 23:34:37,-33.7333,-70.75,66.87,62,0,4.32
181,Shiraz,IR,2022-07-21 23:30:29,29.6036,52.5388,81.84,34,3,4.61
182,Te Anau,NZ,2022-07-21 23:34:38,-45.4167,167.7167,42.44,87,65,1.19
183,Norman Wells,CA,2022-07-21 23:33:31,65.282,-126.8329,75.24,50,75,3.44
184,Moussoro,TD,2022-07-21 23:34:38,13.6408,16.4901,85.8,57,70,4.12
185,Ust-Nera,RU,2022-07-21 23:34:39,64.5667,143.2,69.6,58,41,4.85
186,Alta Floresta,BR,2022-07-21 23:34:39,-9.8756,-56.0861,75.13,38,0,1.63
187,Upernavik,GL,2022-07-21 23:32:14,72.7868,-56.1549,45.37,96,100,15.08
188,Kaeo,NZ,2022-07-21 23:34:39,-35.1,173.7833,61.32,63,67,7.0
189,Carnarvon,AU,2022-07-21 23:33:31,-24.8667,113.6333,60.21,75,36,16.26
190,Kodiak,US,2022-07-21 23:34:40,57.79,-152.4072,53.11,87,100,5.75
191,Porto Seguro,BR,2022-07-21 23:32:54,-16.4497,-39.0647,72.12,88,100,4.61
192,Ancud,CL,2022-07-21 23:34:40,-41.8697,-73.8203,40.23,92,100,4.9
193,San Policarpo,PH,2022-07-21 23:34:41,12.1791,125.5072,84.0,78,99,8.93
194,Pitimbu,BR,2022-07-21 23:34:41,-7.4706,-34.8086,73.99,86,93,6.85
195,Oriximina,BR,2022-07-21 23:34:41,-1.7656,-55.8661,78.44,77,77,3.31
196,Saint Anthony,US,2022-07-21 23:31:55,45.0205,-93.218,86.95,36,0,14.97
197,Chumikan,RU,2022-07-21 23:34:42,54.7183,135.315,55.02,94,100,3.53
198,Senneterre,CA,2022-07-21 23:34:42,48.3835,-77.2328,59.99,96,100,12.39
199,Port Lincoln,AU,2022-07-21 23:30:42,-34.7333,135.8667,56.16,62,100,19.8
200,Asilah,MA,2022-07-21 23:34:43,35.465,-6.0348,80.56,73,65,6.58
201,Henties Bay,NA,2022-07-21 23:34:43,-22.116,14.2845,59.18,67,0,3.04
202,Ardrishaig,GB,2022-07-21 23:34:44,56.0157,-5.4481,53.11,91,100,2.06
203,Matara,LK,2022-07-21 23:30:00,5.9485,80.5353,76.82,91,100,14.94
204,Mixquiahuala,MX,2022-07-21 23:34:44,20.2333,-99.2167,76.44,34,52,17.52
205,Akyab,MM,2022-07-21 23:34:45,20.15,92.9,81.73,83,100,5.32
206,Ilulissat,GL,2022-07-21 23:34:45,69.2167,-51.1,51.82,82,75,4.61
207,Mulchen,CL,2022-07-21 23:34:45,-37.7167,-72.2333,52.45,89,100,5.5
