City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Hearst,CA,71.85,overcast clouds,49.68,-83.67,Companion
165,Zaozerne,UA,71.31,clear sky,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
168,Souillac,MU,70.18,scattered clouds,-20.52,57.52,Bils' Villa
171,Sambava,MG,67.78,broken clouds,-14.27,50.17,Melrose
173,Nakamura,JP,71.69,overcast clouds,32.98,132.93,Hotel Crown Hills Nakamura
186,Lasa,IT,68.88,overcast clouds,46.62,10.7,Pension Feldgärtenhof
187,Vicuna,CL,68.47,clear sky,-30.03,-70.71,Los Mosaicos
191,Villefranche-De-Rouergue,FR,74.17,clear sky,44.33,2.0,Logis Hôtel les Fleurines
195,Vysotsk,RU,63.64,scattered clouds,60.63,28.57,"Country Club ""Fir"""
202,Gannan,CN,65.59,overcast clouds,47.91,123.5,Gannan Supply and Marketing Cooperatives Hostel
203,Baneh,IR,67.12,clear sky,36.0,45.89,ساختمان زیتون
211,Pakxe,LA,73.72,light rain,15.12,105.78,Champasak Palace Hotel
215,Velsk,RU,65.32,clear sky,61.07,42.1,Zhemchuzhina Severa
216,Norman Wells,CA,60.96,light rain,65.28,-126.83,Heritage Hotel
218,San Martin,AR,72.14,clear sky,-33.08,-68.47,Finca Vivencias
221,Taltal,CL,61.92,scattered clouds,-25.4,-70.48,Residencial Karime
227,Carnarvon,AU,66.69,broken clouds,-24.87,113.63,Hospitality Carnarvon
229,Kincardine,GB,68.27,overcast clouds,56.07,-3.72,Premier Inn Falkirk North hotel
232,Tandil,AR,60.13,overcast clouds,-37.32,-59.13,Hostal de la Sierra Tandil
234,Komsomolets,KZ,65.98,scattered clouds,53.75,62.07,Avtostoyanka
235,Glushkovo,RU,65.3,scattered clouds,51.34,34.63,
239,Zambezi,ZM,65.79,broken clouds,-13.54,23.1,Royal Kutachika Lodge
240,Port Hardy,CA,60.8,few clouds,50.7,-127.42,Airport Inn-Port Hardy
242,Imbituba,BR,66.09,clear sky,-28.24,-48.67,Praia Hotel Imbituba
246,Rey Bouba,CM,72.54,overcast clouds,8.67,14.18,
249,Haflong,IN,72.48,light rain,25.18,93.03,Ngahsy te in
